UID	Date	Time Start	Time End	Estimated Regime
337	14/12/17 	12:28:24.207	12:28:24.269	0.1084
338	14/12/17 	12:28:28.457	12:28:28.543	0.1084
339	14/12/17 	12:28:32.993	12:28:33.073	0.1084
340	14/12/17 	12:28:37.180	12:28:37.249	0.1084
341	14/12/17 	12:28:28.937	12:28:38.989	0.1084
342	14/12/17 	12:28:42.823	12:28:42.877	0.1084
343	14/12/17 	12:28:47.144	12:28:47.199	0.1084
344	14/12/17 	12:28:51.199	12:28:51.255	0.1084
345	14/12/17 	12:28:55.486	12:28:55.545	0.1084
346	14/12/17 	12:28:59.985	12:29:00.046	0.1084
347	14/12/17 	12:29:04.329	12:29:04.388	0.1084
348	14/12/17 	12:29:05.784	12:29:05.841	0.1084
349	14/12/17 	12:29:10.292	12:32:43.894	0.1084
350	14/12/17 	12:32:47.815	12:32:47.867	0.1084
351	14/12/17 	12:32:51.252	12:32:51.304	0.1084
352	14/12/17 	12:32:54.860	12:32:54.915	0.1084
353	14/12/17 	12:32:58.506	12:32:58.558	0.1084
354	14/12/17 	12:33:04.747	12:33:04.775	0.1084
355	14/12/17 	12:33:05.570	12:33:05.598	0.1084
356	14/12/17 	12:33:05.956	12:33:05.982	0.1084
357	14/12/17 	12:33:08.487	12:33:08.522	0.1084
358	14/12/17 	12:33:09.300	12:33:09.333	0.1084
359	14/12/17 	12:33:09.783	12:33:09.819	0.1084
360	14/12/17 	12:33:12.388	12:33:49.718	0.1084
361	14/12/17 	12:33:53.262	12:33:53.302	0.1084
362	14/12/17 	12:33:56.462	12:33:56.519	0.1084
363	14/12/17 	12:33:58.405	12:33:58.446	0.1084
364	14/12/17 	12:34:00.216	12:34:00.241	0.1084
365	14/12/17 	12:34:00.583	12:34:00.613	0.1084
366	14/12/17 	12:34:02.688	12:34:02.726	0.1084
367	14/12/17 	12:34:06.029	12:34:06.064	0.1084
368	14/12/17 	12:34:08.491	12:34:08.522	0.1084
369	14/12/17 	12:34:11.104	12:34:11.140	0.1084
370	14/12/17 	12:34:12.590	12:34:12.629	0.1084
371	14/12/17 	12:34:13.646	12:34:13.684	0.1084
372	14/12/17 	12:34:16.625	12:34:16.663	0.1084
373	14/12/17 	12:34:19.634	12:34:19.676	0.1084
374	14/12/17 	12:34:22.749	12:34:22.789	0.1084
375	14/12/17 	12:34:25.951	12:34:25.993	0.1084
376	14/12/17 	12:34:29.250	12:34:29.294	0.1084
377	14/12/17 	12:34:32.611	12:34:32.655	0.1084
378	14/12/17 	12:34:36.119	12:34:36.165	0.1084
379	14/12/17 	12:34:39.714	12:34:39.758	0.1084
380	14/12/17 	12:34:43.241	12:34:43.289	0.1084
381	14/12/17 	12:34:45.932	12:34:45.978	0.1084
382	14/12/17 	12:34:49.416	12:34:49.468	0.1084
383	14/12/17 	12:34:53.304	12:34:53.354	0.1084
384	14/12/17 	12:34:57.027	12:34:57.077	0.1084
385	14/12/17 	12:35:01.049	12:35:01.100	0.1084
386	14/12/17 	12:35:04.976	12:35:05.029	0.1084
387	14/12/17 	12:35:08.798	12:35:08.848	0.1084
388	14/12/17 	12:35:12.682	12:35:12.735	0.1084
389	14/12/17 	12:35:16.675	12:35:16.728	0.1084
390	14/12/17 	12:35:20.953	12:35:21.007	0.1084
391	14/12/17 	12:35:25.075	12:35:25.130	0.1084
392	14/12/17 	12:35:29.386	12:35:29.444	0.1084
393	14/12/17 	12:35:33.495	12:35:33.552	0.1084
394	14/12/17 	12:35:36.763	12:35:36.817	0.1084
395	14/12/17 	12:35:40.982	12:35:41.039	0.1084
396	14/12/17 	12:35:43.644	12:35:43.701	0.1084
397	14/12/17 	12:35:46.385	12:35:46.444	0.1084
398	14/12/17 	12:35:47.962	12:35:48.019	0.1084
399	14/12/17 	12:35:52.118	12:35:52.173	0.1084
400	14/12/17 	12:35:54.262	12:35:54.318	0.1084
401	14/12/17 	12:35:57.195	12:35:57.249	0.1084
402	24/09/18 	10:48:46.155	10:48:46.895	0.373
403	24/09/18 	10:48:47.989	10:48:48.543	0.373
404	24/09/18 	10:49:00.499	10:49:01.285	0.373
405	24/09/18 	10:49:02.373	10:49:02.985	0.373
406	24/09/18 	10:49:08.634	10:49:09.179	0.373
509	24/09/18 	10:49:18.916	10:49:19.741	0.373
407	24/09/18 	10:49:30.014	10:49:30.568	0.373
408	24/09/18 	10:49:40.652	10:49:41.211	0.373
409	24/09/18 	10:49:52.752	10:49:53.662	0.373
410	24/09/18 	10:50:38.304	10:50:39.439	0.373
411	24/09/18 	10:51:04.724	10:51:05.537	0.373
412	24/09/18 	10:51:29.768	10:51:30.334	0.373
413	24/09/18 	10:51:48.435	10:51:49.849	0.373
414	24/09/18 	10:52:05.807	10:52:06.154	0.373
415	24/09/18 	10:52:08.531	10:52:09.119	0.373
416	24/09/18 	10:52:11.203	10:52:12.323	0.373
417	24/09/18 	10:52:14.210	10:52:15.853	0.373
418	24/09/18 	10:52:18.612	10:52:18.913	0.373
419	24/09/18 	10:52:31.420	10:52:32.025	0.373
420	24/09/18 	10:52:57.527	10:52:58.012	0.373
421	24/09/18 	10:53:06.319	10:53:08.169	0.373
422	24/09/18 	10:53:10.998	10:53:11.626	0.373
423	24/09/18 	10:53:27.191	10:53:28.032	0.373
424	24/09/18 	10:54:35.697	10:54:36.507	0.373
425	24/09/18 	10:55:01.011	10:55:01.876	0.373
426	24/09/18 	10:55:21.503	10:55:22.376	0.373
427	24/09/18 	10:55:37.451	10:55:38.298	0.373
428	24/09/18 	10:55:49.758	10:55:50.568	0.373
429	24/09/18 	10:56:15.765	10:56:16.596	0.373
430	24/09/18 	10:56:38.991	10:56:39.842	0.373
431	24/09/18 	10:57:04.274	10:57:05.124	0.373
432	24/09/18 	10:57:28.275	10:57:29.146	0.373
433	24/09/18 	10:57:52.798	10:57:53.620	0.373
434	24/09/18 	10:58:18.816	10:58:19.638	0.373
435	24/09/18 	10:58:27.668	10:58:28.477	0.373
436	24/09/18 	10:58:32.970	10:58:33.763	0.373
437	24/09/18 	10:58:57.251	10:58:58.074	0.373
438	24/09/18 	10:59:01.490	10:59:02.270	0.373
439	24/09/18 	10:59:19.824	10:59:20.680	0.373
440	24/09/18 	10:59:32.029	10:59:32.862	0.373
441	24/09/18 	10:59:38.677	10:59:39.495	0.373
442	24/09/18 	10:59:38.673	10:59:39.497	0.373
443	24/09/18 	10:59:51.341	10:59:52.166	0.373
444	24/09/18 	11:00:17.684	11:00:18.542	0.373
445	24/09/18 	11:00:31.922	11:00:32.726	0.373
446	24/09/18 	11:00:56.496	11:00:57.302	0.373
447	24/09/18 	11:01:00.618	11:01:01.458	0.373
448	24/09/18 	11:01:19.959	11:01:20.776	0.373
449	24/09/18 	11:01:45.224	11:01:46.053	0.373
450	24/09/18 	11:01:45.226	11:01:46.049	0.373
451	24/09/18 	11:01:47.779	11:01:48.614	0.373
452	24/09/18 	11:01:54.224	11:01:55.069	0.373
453	24/09/18 	11:02:09.311	11:02:10.158	0.373
454	24/09/18 	11:02:15.684	11:02:16.502	0.373
455	24/09/18 	11:02:19.974	11:02:20.810	0.373
456	24/09/18 	11:02:26.185	11:02:26.988	0.373
457	24/09/18 	11:02:49.907	11:02:50.702	0.373
458	24/09/18 	11:03:15.824	11:03:16.653	0.373
459	24/09/18 	11:03:39.650	11:03:40.468	0.373
460	24/09/18 	11:04:03.460	11:04:04.294	0.373
461	24/09/18 	11:04:27.006	11:04:27.866	0.373
462	24/09/18 	11:04:49.734	11:04:50.584	0.373
463	24/09/18 	11:05:14.476	11:05:15.315	0.373
